

 Testing the PolicyIterationAgent on the MazeGrid 

 values 
 at (-1, -1) : 0.000000
 at (0, 0) : 0.668008
 at (0, 1) : 0.760787
 at (0, 2) : 0.866451
 at (0, 3) : 1.000000
 at (1, 2) : 0.760787
 at (2, 0) : 0.222259
 at (2, 2) : 0.658357
 at (2, 3) : 0.570433
 at (3, 0) : 0.253977
 at (3, 3) : 0.500866
 at (4, 0) : 0.289639
 at (4, 1) : 0.334505
 at (4, 2) : 0.381021
 at (4, 3) : 0.433965
 
 policy 
 at (-1, -1) move None 
at (0, 0) move east 
at (0, 1) move east 
at (0, 2) move east 
at (0, 3) move exit 
at (1, 2) move north 
at (2, 0) move south 
at (2, 2) move north 
at (2, 3) move west 
at (3, 0) move south 
at (3, 3) move north 
at (4, 0) move east 
at (4, 1) move east 
at (4, 2) move east 
at (4, 3) move north 

 q-values 
 at (0, 0) for moving north : 0.609557 
at (0, 0) for moving west : 0.601207 
at (0, 0) for moving south : 0.609557 
at (0, 0) for moving east : 0.668008 
at (0, 1) for moving north : 0.685868 
at (0, 1) for moving west : 0.617907 
at (0, 1) for moving south : 0.685868 
at (0, 1) for moving east : 0.760787 
at (0, 2) for moving north : 0.782316 
at (0, 2) for moving west : 0.694218 
at (0, 2) for moving south : 0.706237 
at (0, 2) for moving east : 0.866451 
at (0, 3) for moving exit : 1.000000 
at (1, 2) for moving north : 0.760787 
at (1, 2) for moving west : 0.684999 
at (1, 2) for moving south : 0.610959 
at (1, 2) for moving east : 0.684999 
at (2, 0) for moving north : 0.200033 
at (2, 0) for moving west : 0.202888 
at (2, 0) for moving south : 0.222870 
at (2, 0) for moving east : 0.202888 
at (2, 2) for moving north : 0.658358 
at (2, 2) for moving west : 0.601740 
at (2, 2) for moving south : 0.584608 
at (2, 2) for moving east : 0.538435 
at (2, 3) for moving north : 0.521303 
at (2, 3) for moving west : 0.570434 
at (2, 3) for moving south : 0.471215 
at (2, 3) for moving east : 0.507129 
at (3, 0) for moving north : 0.205742 
at (3, 0) for moving west : 0.228934 
at (3, 0) for moving south : 0.254256 
at (3, 0) for moving east : 0.228934 
at (3, 3) for moving north : 0.500868 
at (3, 3) for moving west : 0.451019 
at (3, 3) for moving south : 0.402610 
at (3, 3) for moving east : 0.451019 
at (4, 0) for moving north : 0.239037 
at (4, 0) for moving west : 0.257466 
at (4, 0) for moving south : 0.264713 
at (4, 0) for moving east : 0.289769 
at (4, 1) for moving north : 0.301203 
at (4, 1) for moving west : 0.268751 
at (4, 1) for moving south : 0.301203 
at (4, 1) for moving east : 0.334546 
at (4, 2) for moving north : 0.343497 
at (4, 2) for moving west : 0.309427 
at (4, 2) for moving south : 0.343497 
at (4, 2) for moving east : 0.381038 
at (4, 3) for moving north : 0.433972 
at (4, 3) for moving west : 0.358470 
at (4, 3) for moving south : 0.385803 
at (4, 3) for moving east : 0.396589 
